id,title,author,genre,subgenre,publisher,counter
88,"Freedom at Midnight","Lapierre, Dominique",nonfiction,history,vikas,0
89,"Winter of Our Discontent, The","Steinbeck, John",fiction,classic,Penguin,0
90,"On Education","Russell, Bertrand",philosophy,education,Routledge,0
91,"Free Will","Harris, Sam",nonfiction,psychology,FreePress,0
92,"Bookless in Baghdad","Tharoor, Shashi",nonfiction,history,Penguin,0
93,"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,novel,Penguin,0
94,"Theory of Everything, The","Hawking, Stephen",science,physics,Jaico,0
95,"New Markets & Other Essays","Drucker, Peter",science,economics,Penguin,0
96,"Electric Universe","Bodanis, David",science,physics,Penguin,0
97,"Hunchback of Notre Dame, The","Hugo, Victor",fiction,classic,"Random House",0
98,"Burning Bright","Steinbeck, John",fiction,classic,Penguin,0
99,"Age of Discontuinity, The","Drucker, Peter",nonfiction,economics,"Random House",0
100,"Doctor in the Nude","Gordon, Richard",fiction,novel,Penguin,0
101,"Down and Out in Paris & London","Orwell, George",nonfiction,autobiography,Penguin,0
102,"Identity & Violence","Sen, Amartya",philosophy,philosophy,Penguin,0
103,"Beyond the Three Seas","Dalrymple, William",nonfiction,history,"Random House",0
104,"World's Greatest Short Stories, The",,fiction,classic,Jaico,0
105,"Talking Straight","Iacoca, Lee",nonfiction,autobiography,Penguin,0
106,"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,classic,Vintage,0
107,"Phantom of Manhattan, The","Forsyth, Frederick",fiction,classic,Penguin,0
108,"Ashenden of The British Agent","Maugham, William S",fiction,classic,Vintage,0
109,"Zen & The Art of Motorcycle Maintenance","Pirsig, Robert",philosophy,autobiography,Vintage,0
110,"Great War for Civilization, The","Fisk, Robert",nonfiction,history,HarperCollins,0
111,"We the Living","Rand, Ayn",fiction,novel,Penguin,0
112,"Artist and the Mathematician, The","Aczel, Amir",science,mathematics,HighStakes,0
113,"History of Western Philosophy","Russell, Bertrand",philosophy,philosophy,Routledge,0
114,"Selected Short Stories",,fiction,classic,Jaico,0
115,"Rationality & Freedom","Sen, Amartya",science,economics,Springer,0
116,"Clash of Civilizations and Remaking of the World Order","Huntington, Samuel",nonfiction,history,"Simon&Schuster",0
117,"Uncommon Wisdom","Capra, Fritjof",nonfiction,anthology,Fontana,0
118,One,"Bach, Richard",nonfiction,autobiography,Dell,0
119,"Karl Marx Biography","Marx, Karl",nonfiction,autobiography,Penguin,0
120,"To Sir With Love",Braithwaite,fiction,classic,Penguin,0
